,daymonth,year,weather,min_temp,max_temp,avg_temp,wind,humidity,cloud,pressure,rain
359,2020-03-05,2010.0,Sunny,10.0,22.0,16.0,8.0,63.0,12.0,1014.0,1
361,2020-03-05,2012.0,Sunny,11.0,22.0,16.5,9.0,60.0,7.0,1009.0,1
363,2020-03-05,2013.0,Sunny,13.0,26.0,19.5,10.0,29.0,0.0,1018.0,0
364,2020-03-06,2009.0,Overcast,11.0,26.0,18.5,8.0,34.0,36.0,1012.0,0
365,2020-03-06,2010.0,partly cloudy,10.0,14.0,12.0,10.0,65.0,32.0,1015.0,1
366,2020-03-06,2011.0,Patchy rain possible,11.0,22.0,16.5,9.0,41.0,42.0,1015.0,1
367,2020-03-06,2012.0,Sunny,10.0,22.0,16.0,11.0,35.0,4.0,1009.0,0
369,2020-03-06,2013.0,Sunny,14.0,27.0,20.5,11.0,33.0,0.0,1018.0,0
370,2020-03-07,2009.0,Sunny,12.0,25.0,18.5,8.0,39.0,12.0,1013.0,1
371,2020-03-07,2010.0,Sunny,9.0,23.0,16.0,7.0,63.0,20.0,1017.0,1
372,2020-03-07,2011.0,partly cloudy,8.0,21.0,14.5,8.0,50.0,29.0,1020.0,1
375,2020-03-07,2013.0,Sunny,14.0,28.0,21.0,8.0,34.0,0.0,1016.0,0
376,2020-03-08,2009.0,Sunny,11.0,23.0,17.0,8.0,35.0,32.0,1012.0,0
377,2020-03-08,2010.0,Sunny,10.0,26.0,18.0,8.0,50.0,3.0,1016.0,0
378,2020-03-08,2011.0,Sunny,7.0,22.0,14.5,10.0,55.0,5.0,1015.0,1
379,2020-03-08,2012.0,Sunny,7.0,19.0,13.0,11.0,40.0,16.0,1009.0,1
381,2020-03-08,2013.0,Sunny,15.0,28.0,21.5,12.0,27.0,6.0,1016.0,0
382,2020-03-09,2009.0,Sunny,11.0,24.0,17.5,9.0,34.0,9.0,1016.0,0
383,2020-03-09,2010.0,partly cloudy,11.0,26.0,18.5,9.0,43.0,23.0,1018.0,0
384,2020-03-09,2011.0,Sunny,8.0,23.0,15.5,8.0,50.0,8.0,1013.0,0
