[[,Unnamed: 0,daymonth_category,daymonth,weather,max_temp,min_temp,wind,rain,humidity,cloud,pressure,year,weathervalue,avg_temp
189,11/26/2020 2:48:04,02/04/2020,02/04/2020,partly cloudy,18,11,12,2.7,64,47,1019,2011,7,14.5
190,11/26/2020 2:48:47,02/04/2020,02/04/2020,Patchy light rain,9,7,10,11.6,80,71,1018,2012,13,8
191,11/26/2020 2:49:32,02/04/2020,02/04/2020,Light rain shower,14,9,18,16.7,85,70,1015,2013,16,11.5
192,11/26/2020 2:57:42,02/05/2020,02/05/2020,Overcast,12,8,8,7.2,81,64,1016,2009,6,10
193,11/26/2020 2:58:25,02/05/2020,02/05/2020,Patchy light drizzle,13,9,8,4.8,71,77,1020,2010,14,11
194,11/26/2020 2:59:04,02/05/2020,02/05/2020,partly cloudy,20,9,9,1.4,57,38,1017,2011,7,14.5
195,11/26/2020 2:59:40,02/05/2020,02/05/2020,Sunny,14,5,7,0.4,69,18,1020,2012,1,9.5
196,11/26/2020 3:00:00,02/05/2020,02/05/2020,Sunny,14,5,7,0.4,69,18,1020,2012,1,9.5
197,11/26/2020 3:00:48,02/05/2020,02/05/2020,Thundery outbreaks possible,12,8,15,35.3,91,82,1014,2013,9,10
198,11/26/2020 3:02:31,02/06/2020,02/06/2020,Sunny,16,7,8,1,72,19,1020,2009,1,11.5
199,11/26/2020 3:03:51,02/06/2020,02/06/2020,Sunny,16,7,8,1,72,19,1020,2009,1,11.5
200,11/26/2020 3:04:13,02/06/2020,02/06/2020,partly cloud,16,10,4,2.3,81,56,1020,2010,2,13
201,11/26/2020 3:04:33,02/06/2020,02/06/2020,Light rain shower,19,10,12,4.6,73,66,1013,2011,16,14.5
202,11/26/2020 3:04:52,02/06/2020,02/06/2020,Sunny,16,5,11,0,45,1,1020,2012,1,10.5
203,11/26/2020 3:05:01,02/06/2020,02/06/2020,Sunny,16,5,11,0,45,1,1020,2012,1,10.5
204,11/26/2020 3:05:26,02/06/2020,02/06/2020,Sunny,15,7,10,0.8,71,15,1023,2013,1,11
205,11/26/2020 3:06:26,02/06/2020,02/06/2020,Sunny,16,7,8,1,72,19,1020,2009,1,11.5
206,11/26/2020 3:06:48,02/06/2020,02/06/2020,partly cloud,16,10,4,2.3,81,56,1020,2010,2,13
207,11/26/2020 3:07:08,02/06/2020,02/06/2020,Light rain shower,19,10,12,4.6,73,66,1013,2011,16,14.5
208,11/26/2020 3:07:27,02/06/2020,02/06/2020,Sunny,16,5,11,0,45,1,1020,2012,1,10.5
209,11/26/2020 3:07:36,02/06/2020,02/06/2020,Sunny,16,5,11,0,45,1,1020,2012,1,10.5
210,11/26/2020 3:08:01,02/06/2020,02/06/2020,Sunny,15,7,10,0.8,71,15,1023,2013,1,11
211,11/26/2020 3:09:01,02/07/2020,02/07/2020,Sunny,19,5,6,0,54,15,1020,2009,1,12
212,11/26/2020 3:09:23,02/07/2020,02/07/2020,Moderate or heavy rain shower,14,10,10,3.4,88,69,1018,2010,12,12
213,11/26/2020 3:09:43,02/07/2020,02/07/2020,Moderate or heavy rain shower,11,6,7,30.1,93,62,1009,2011,12,8.5
214,11/26/2020 3:10:02,02/07/2020,02/07/2020,Sunny,15,3,11,0,34,0,1017,2012,1,9
215,11/26/2020 3:10:11,02/07/2020,02/07/2020,Sunny,15,3,11,0,34,0,1017,2012,1,9
216,11/26/2020 3:10:36,02/07/2020,02/07/2020,Sunny,17,6,7,0,50,0,1019,2013,1,11.5
217,11/26/2020 3:11:36,02/08/2020,02/08/2020,Sunny,21,6,9,0,43,7,1019,2009,1,13.5
218,11/26/2020 3:11:58,02/08/2020,02/08/2020,Moderate or heavy rain shower,11,11,28,17.7,94,98,1008,2010,12,11
219,11/26/2020 3:12:18,02/08/2020,02/08/2020,Sunny,17,5,8,0,69,2,1015,2011,1,11
220,11/26/2020 3:12:37,02/08/2020,02/08/2020,Sunny,14,3,9,0,32,0,1016,2012,1,8.5
221,11/26/2020 3:12:47,02/08/2020,02/08/2020,Sunny,14,3,9,0,32,0,1016,2012,1,8.5
222,11/26/2020 3:13:11,02/08/2020,02/08/2020,Sunny,19,7,8,0,40,3,1018,2013,1,13
223,11/26/2020 3:15:01,02/09/2020,02/09/2020,Patchy rain possible,12,5,8,9.9,81,32,1008,2010,10,8.5
224,11/26/2020 3:15:21,02/09/2020,02/09/2020,Cloudy,19,5,9,0,47,31,1015,2011,4,12
